Wavelet Approximate Entropy,Variance of Vertex to Vertex Slope,Wavelet Detailed Energy,Hjorth_Activity,FFT Beta MaxPower,1st Difference Max,FFT Alpha MaxPower,Wavelet Approximate Std Deviation,FFT Theta MaxPower,Coeffiecient of Variation,Label
6622.822906,28.1785796,2157.259606,112.4085291,1.594020183,16.44695171,2.728792309,17.35540526,6.494681121,0.002284249,0
5653.726983,26.83793666,1928.879069,158.835231,2.024521482,16.19049929,2.358977082,13.4608723,5.687224992,0.002437332,0
6126.377647,27.16176181,2044.078506,274.3394674,1.446393431,17.10627093,2.724536809,13.5360159,7.364635434,0.002746814,0
5589.292785,26.69671198,1903.448741,360.2925714,2.03069019,16.7765765,6.828480769,16.09649023,13.28166175,0.003301016,0
6704.974054,33.47315852,2185.587812,346.085591,2.336762631,18.57139364,6.351491442,17.89923917,10.30896361,0.00355977,0
7097.31561,36.05329124,2283.121328,331.6288397,1.539855137,18.42490921,2.833654931,17.51625555,7.251902577,0.003625194,0
8526.884969,37.54105847,2646.977518,272.7250631,1.699822079,18.42490929,1.914023074,13.18544474,10.00734379,0.003406731,0
7911.888839,33.06573879,2538.366891,255.6518733,1.463904778,16.66667829,2.607786305,22.13273942,10.65811616,0.003356949,0
7165.012049,31.54358126,2348.670593,220.8073909,1.8973944,16.5566755,3.578675653,20.89367515,6.702614018,0.002952913,0
7104.947307,30.22315888,2338.308184,283.3850238,2.479514002,16.44677736,3.785010161,20.50821833,6.859247321,0.003684146,0
7389.672728,29.70375795,2354.707312,210.4962505,1.913565292,14.83517014,2.700213504,16.78374072,6.660738402,0.003250573,0
8692.812616,31.16858044,2669.499026,410.888176,1.324084994,15.45790329,2.258536748,15.89696659,5.98589102,0.004273383,0
7943.067248,31.21129999,2474.328505,256.9517774,1.513001286,15.53118021,2.196486629,15.25411592,6.579009582,0.003213718,0
7769.42212,30.9550857,2442.289449,302.8974075,1.213267387,15.78763257,2.238110005,15.15741606,6.367083014,0.003021598,0
7342.131874,31.37611999,2344.031061,328.2415941,1.640024599,15.78756257,2.352747055,16.13789221,6.436182117,0.003041535,0
8181.787681,31.37638271,2552.003601,651.3625686,1.53411935,15.60442229,3.712226401,20.82513227,11.10901369,0.003431776,0
7546.468507,32.14142938,2411.757431,776.8380974,1.094722428,16.15387814,3.766034975,23.62105545,11.23810477,0.003587969,0
7126.773861,28.91696687,2333.283382,584.1517772,0.996648176,15.31140129,1.734419256,19.911171,3.514882851,0.003293436,0
6916.204067,28.9761245,2278.523207,309.8052242,2.206167748,15.86087471,3.044186475,19.61671465,5.004406634,0.002925482,0
7958.352411,29.1698224,2512.360845,165.6239085,2.550403937,17.10630571,3.756641824,24.05805525,5.79524738,0.0026126,0
7887.684801,30.91911062,2482.21574,129.6902953,1.316358229,17.06968457,2.015797272,14.37391402,4.275231915,0.002351591,0
7564.764347,31.98964279,2422.199136,93.41728632,1.529651802,16.52015907,1.945417458,15.52228557,2.169359938,0.002054137,0
7198.26282,31.25037988,2348.334631,110.508423,1.110216037,16.81319786,3.315774532,13.01841848,7.449449114,0.002182098,0
7744.598717,31.65602398,2476.535207,111.8012174,1.209557247,16.88647486,3.070856151,14.46034014,9.271892725,0.002199361,0
7780.298251,31.40969908,2473.898694,89.2654348,1.15109203,17.17951329,3.200695203,11.96618383,4.587621934,0.001985411,0
7315.364413,29.8081401,2377.726813,92.09468724,1.500638647,15.97063336,3.120551743,12.82226856,3.841121415,0.001908368,0
6204.113248,32.21219106,2124.84936,127.6245747,1.805530044,15.860805,2.167193708,19.30497784,2.860537047,0.0022117,0
5627.977113,34.01175594,1959.799894,212.0406255,2.097518672,17.98528186,4.62200786,24.85281435,5.610004761,0.002757257,0
6113.423217,36.73304258,2062.741227,219.8831457,2.084075599,18.131836,4.593800747,21.39035381,6.353514458,0.002777941,0
5892.41851,36.74539131,1991.532519,282.453244,1.30315561,17.94866079,3.720350805,11.8310482,4.594478053,0.003241279,0
6599.686951,36.34028432,2186.093536,179.1973973,1.593139156,17.50920757,4.491076285,16.340727,4.210569531,0.002816905,0
5314.054845,34.40910782,1855.432721,202.7401449,1.572581615,18.02200757,4.456277229,17.34200129,4.130044591,0.002942228,0
5622.515827,32.61614185,1912.930568,329.2152862,2.199393486,17.91217907,5.352882331,15.7463896,4.9613148,0.003699463,0
6359.040395,32.83838683,2072.737458,347.9442341,1.293792089,17.65569193,3.344196539,18.32428775,5.63441717,0.003774589,0
6619.254217,36.14215341,2137.30194,526.4231312,1.806912896,19.59702864,2.395863384,17.53025184,5.392080633,0.004495282,0
6060.687313,37.99577843,2014.714264,391.132503,1.584398881,19.56040743,2.870010726,15.49323037,2.890542546,0.003923939,0
5070.347927,36.45441624,1786.123231,427.9561154,1.791385276,18.79125964,4.064143153,15.21572491,10.30592896,0.003972487,0
5629.477193,33.94579637,1942.277654,331.1189372,1.7732356,17.58238007,2.949353913,14.54523825,12.03709742,0.003550088,0
6489.36463,35.27801604,2166.865021,300.9666898,1.971003825,17.65565707,2.094128248,16.77217626,3.720486871,0.003508114,0
5984.491715,35.3540089,2049.35188,144.4721419,1.921826593,17.94866071,1.925173349,17.79266647,2.889463334,0.002588805,0
5043.393692,35.43177301,1796.335516,205.2315953,1.299271926,17.47251671,1.986059957,17.00674523,4.053611818,0.002872096,0
4956.953968,31.20140963,1788.542535,199.628765,1.255316599,17.65558736,2.143570239,10.48598858,3.78392113,0.002838631,0
6432.743681,30.44850045,2145.471765,181.5157403,1.360143826,17.692278,3.531663594,9.727161111,4.9123314,0.002677189,0
7382.149807,29.46261989,2387.058501,173.5301887,1.437422576,16.48364243,5.086966388,20.34323101,5.753133405,0.002670281,0
7266.339316,32.20064897,2335.598897,175.7041075,1.048625896,16.00742879,3.216654387,24.33283734,5.796637881,0.002673186,0
6690.822914,32.32954428,2178.667851,197.117902,1.45951491,14.94510329,2.729234773,25.46698918,8.575839227,0.002830586,0
6582.148773,32.0748535,2136.355131,170.3570117,2.11994652,14.871861,2.723851838,20.47459339,6.836671567,0.002683739,0
6642.116669,30.7693461,2163.738797,133.1355266,2.005009214,15.12820864,2.322454049,19.30950561,4.282133945,0.002459211,0
7788.854409,31.31669297,2419.877982,155.2877737,2.545814977,17.50910271,2.244467875,16.53051004,7.011052429,0.002497783,0
9820.168804,34.75227076,2939.097331,256.6570629,2.997130908,18.38825321,5.523779203,11.55119705,10.03449266,0.003135978,0
